Confirmed_Cases,Deaths,Recovered,Locations
"504,780","18,763","28,993",United States
"158,273","16,081","55,668",Spain
"147,577","18,849","30,445",Italy
"122,215","2,707","42,155",Germany
"90,676","13,197","24,932",France
"81,953","3,339","77,525",China (mainland)
"73,758","8,958",–,United Kingdom
"68,192","4,232","35,465",Iran
"47,029","1,006","2,423",Turkey
"26,667","3,019","5,568",Belgium
"24,551","1,002","11,100",Switzerland
"23,097","2,511",–,Netherlands
"22,148",569,"6,013",Canada
"19,943","1,074",–,Brazil
"15,472",435,233,Portugal
"13,713",337,"6,604",Austria
"13,584",106,1045,Russia
"10,480",211,"7,243",South Korea
"10,408",95,"1,183",Israel
"9,685",870,–,Sweden
"8,089",287,25,Ireland
"7,447",239,643,India
"7,161",297,368,Ecuador
"6,501",65,"1,571",Chile
"6,359",113,–,Norway
"6,292",53,"3,141",Australia
"5,955",181,318,Poland
"5,897",169,"1,569",Peru
"5,819",247,"1,773",Denmark
"5,732",119,346,Czech Republic
"5,467",257,729,Romania
"5,347",88,714,Japan
"4,788",71,762,Pakistan
"4,428",247,157,Philippines
"4,346",70,"1,830",Malaysia
"3,844",233,633,Mexico
"3,651",47,685,Saudi Arabia
"3,512",306,282,Indonesia
"3,360",16,418,United Arab Emirates
"3,223",54,412,Luxembourg
"3,105",71,118,Serbia
"2,974",74,17,Panama
"2,769",48,–,Finland
"2,620",126,98,Dominican Republic
"2,518",35,"1,135",Thailand
"2,512",6,227,Qatar
"2,511",73,79,Ukraine
"2,473",80,197,Colombia
"2,226",23,172,Belarus
"2,108",7,492,Singapore
"2,011",93,269,Greece
"2,003",24,410,South Africa
"1,975",82,375,Argentina
"1,794",135,384,Egypt
"1,761",256,405,Algeria
"1,675",6,751,Iceland
"1,495",21,231,Croatia
"1,448",107,122,Morocco
"1,438",29,56,Moldova
"1,310",85,115,Hungary
"1,279",70,550,Iraq
"1,258",24,83,Estonia
"1,160",45,137,Slovenia
"1,035",4,422,New Zealand
"1,026",23,54,Lithuania
998,6,551,Bahrain
993,1,123,Kuwait
991,10,159,Azerbaijan
990,4,309,Hong Kong
937,11,149,Armenia
917,37,137,Bosnia and Herzegovina
859,10,68,Kazakhstan
820,12,98,Cameroon
725,39,–,Puerto Rico
715,2,23,Slovakia
712,12,619,Diamond Princess
711,32,41,North Macedonia
671,25,25,Tunisia
648,26,62,Bulgaria
624,3,42,Uzbekistan
612,2,16,Latvia
609,20,67,Lebanon
601,26,71,Andorra
585,10,58,Cyprus
564,15,51,Cuba
558,3,42,Costa Rica
546,3,109,Oman
521,15,32,Afghanistan
494,7,214,Uruguay
480,3,54,Ivory Coast
448,26,159,Burkina Faso
438,11,41,Niger
424,27,33,Bangladesh
416,23,182,Albania
416,0,0,USS Theodore Roosevelt
392,24,7,Honduras
385,6,99,Taiwan
382,0,40,Réunion
378,6,34,Ghana
372,7,170,Jordan
350,2,13,Malta
344,34,50,San Marino
339,5,44,Kyrgyzstan
318,9,23,Mauritius
305,7,58,Nigeria
275,20,1,Bolivia
267,2,45,Palestine
265,2,137,Senegal
257,2,4,Montenegro
257,0,144,Vietnam
250,7,52,Kosovo
234,3,54,Georgia
215,20,13,DR Congo
212,0,15,Guinea
201,1,103,Isle of Man
200,6,42,Guernsey
198,3,–,Jersey
197,7,54,Sri Lanka
191,2,50,Mayotte
189,7,22,Kenya
184,0,145,Faroe Islands
175,9,84,Venezuela
155,6,50,Martinique
150,1,36,Djibouti
143,8,67,Guadeloupe
