Confirmed_Cases,Deaths,Recovered,Locations,Lat,Long
504780,18763,28993,United States,39.7837304,-100.4458825
158273,16081,55668,Spain,39.3262345,-4.8380649
147577,18849,30445,Italy,42.6384261,12.674297
122215,2707,42155,Germany,51.0834196,10.4234469
90676,13197,24932,France,46.603354,1.8883335
81953,3339,77525,China (mainland),39.906217,116.3912757
73758,8958,0,United Kingdom,54.7023545,-3.2765753
68192,4232,35465,Iran,32.6475314,54.5643516
47029,1006,2423,Turkey,38.9597594,34.9249653
26667,3019,5568,Belgium,50.6402809,4.6667145
24551,1002,11100,Switzerland,46.7985624,8.2319736
23097,2511,0,Netherlands,52.5001698,5.7480821
22148,569,6013,Canada,61.0666922,-107.9917071
19943,1074,0,Brazil,-10.3333333,-53.2
15472,435,233,Portugal,40.0332629,-7.8896263
13713,337,6604,Austria,47.2000338,13.199959
13584,106,1045,Russia,64.6863136,97.7453061
10480,211,7243,South Korea,36.638392,127.6961188
10408,95,1183,Israel,31.5313113,34.8667654
9685,870,0,Sweden,59.6749712,14.5208584
8089,287,25,Ireland,52.865196,-7.9794599
7447,239,643,India,22.3511148,78.6677428
7161,297,368,Ecuador,-1.3397668,-79.3666965
6501,65,1571,Chile,-31.7613365,-71.3187697
6359,113,0,Norway,64.5731537,11.52803643954819
6292,53,3141,Australia,-24.7761086,134.755
5955,181,318,Poland,52.215933,19.134422
5897,169,1569,Peru,-6.8699697,-75.0458515
5819,247,1773,Denmark,55.670249,10.3333283
5732,119,346,Czech Republic,49.8167003,15.4749544
5467,257,729,Romania,45.9852129,24.6859225
5347,88,714,Japan,36.5748441,139.2394179
4788,71,762,Pakistan,30.3308401,71.247499
4428,247,157,Philippines,12.7503486,122.7312101
4346,70,1830,Malaysia,4.5693754,102.2656823
3844,233,633,Mexico,19.4326296,-99.1331785
3651,47,685,Saudi Arabia,25.6242618,42.3528328
3512,306,282,Indonesia,-2.4833826,117.8902853
3360,16,418,United Arab Emirates,24.0002488,53.9994829
3223,54,412,Luxembourg,49.8158683,6.1296751
3105,71,118,Serbia,44.024322850000004,21.07657433209902
2974,74,17,Panama,8.559559,-81.1308434
2769,48,0,Finland,63.2467777,25.9209164
2620,126,98,Dominican Republic,19.0,-70.666667
2518,35,1135,Thailand,14.8971921,100.83273
2512,6,227,Qatar,25.3336984,51.2295295
2511,73,79,Ukraine,49.4871968,31.2718321
2473,80,197,Colombia,2.8894434,-73.783892
2226,23,172,Belarus,53.4250605,27.6971358
2108,7,492,Singapore,1.357107,103.8194992
2011,93,269,Greece,38.9953683,21.9877132
2003,24,410,South Africa,-28.8166236,24.991639
1975,82,375,Argentina,-34.9964963,-64.9672817
1794,135,384,Egypt,26.2540493,29.2675469
1761,256,405,Algeria,28.0000272,2.9999825
1675,6,751,Iceland,64.9841821,-18.1059013
1495,21,231,Croatia,45.5643442,17.0118954
1448,107,122,Morocco,31.1728205,-7.3362482
1438,29,56,Moldova,47.2879608,28.5670941
1310,85,115,Hungary,47.1817585,19.5060937
